A,B,C,D,E,F,G,H,I,J
珠村牌坊华润万家漫广场三溪5号线君易商务中心精装,1580,珠村东桥大街自建房,整租,朝南,有电梯,,3室1厅80平米,天河东圃 珠村东横一路,https://gz.zu.anjuke.com/fangyuan/3615747582418946?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTYrjEOP1TQPjDYnWDQTED1PWDdP1ELPH9zPjD3rHEvTHDQrHTkTHDQrHTkTHD_nHTKnkDQP1cYP1mLPjczP1E1THDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjndP1mvnH9On1DzPjTOPkDvTEDQTH9zmWI-uj7WsHTOnjmVPANvmiYOmWc1symznWwBn1cOmyuBuTDQrjc3n1NLPWmQrH0LnjDknH0vTHD3nW91PH0vPWDOPHD3PjTzPHmKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyEzrHEQrjczsyn1n1TVPjFWuad6nAF6sHFhmWNdmhczuWI6uTDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_TH-hryRbrHRBuAP6uhRWmvE&lego_tid=d2941822-c330-42cd-a0ba-2fb55bb2f7ad&psid=6fd4e1a5192a4d36b65a104de2c3b702
首月0租金 地铁站旁 新房出租 交通方便 采光充足 环境优美,1000,宦溪村,整租,东南,5号线,,1室1厅35平米,天河东圃 宦溪北路,https://gz.zu.anjuke.com/fangyuan/3676572979814405?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKP1mYPH0OPWDkPWD1rj0KTHnvP1mdP1cOP1b3nHEYnjNKnHDOnjTKrHNknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDzTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW91P1E1nWbOnH93nHcQPWTKP9DKnEDYrA76PAFWmBdBn1NQsHEYmW9VmWndnBdBnWckn1DOuj91PjcKnH9zrjnLPjn1nHnYrHTvnHm1PTDQrjc3n10Yn1nQn1c3njbknHD1TEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDLnhFbmHT3riY3rADOsHwBPjbVmymQPaY3nvEdmHNdmvw6uW9KTHEKTEDkTHn_nHmdPakzPWbdTHDKUMR_UTD3m1KWrjFbPjbkPHnkuANL&lego_tid=72bda089-88a9-4b49-af14-83d5a55cdaf8&psid=6fd4e1a5192a4d36b65a104de2c3b702
盈彩美居两房 园林小区 三溪地铁口 拎包入住 随时看房,4300,盈彩美居,整租,朝南,有电梯,5号线,2室2厅81平米,天河东圃 盈溪路,https://gz.zu.anjuke.com/fangyuan/3680917468224516?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKP1DYPHEOrjm1nWb3P1TKTHnvrjTOnH0YPW9znWEdnHmKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPW0YnWcLPjnKnk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3n1EQrjDOPjbOn1bLnHckTHmKTHDKPHTkrjczm19VrH9znaYYuhm3sH-WuWEVmyN1PHuhuHPBPjP6THD3nW91PjD3nHbdP1bQnjDQrjEKnH9zrjnYnH9QrHNdrjDzrHmvPTDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKrAPWmHbYPvcVnW0dnBYYPjm3sHbznjTVn1DLuyNkPHR-nA7-TEDYTEDKnTD1sjDvPHE_nWmOPEDQTyOdUAkKPWNYuADYuWbdPjbOmHbLP9&lego_tid=8cca947b-2752-4468-9200-317ee055e0ae&psid=6fd4e1a5192a4d36b65a104de2c3b702
兰亭盛荟精装修三房押一付一随时入住南向车位充足,6800,兰亭盛荟,整租,朝南,有电梯,5号线,3室2厅101平米,天河东圃 东圃明镜路,https://gz.zu.anjuke.com/fangyuan/3680051427058690?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKn19OPWEvnjbYrH9QnWNKTHnvrjTkPHDYnW0kPH9vrHTKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPW0YnWcLPjnKPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjcLPHcYnHndrjbdPHc1n1c3THmKTHDKmymdmyDzryEVrycknzYYuHEYsycYm1TVnWRbP1nYnW6buHF6THD3nW0dnWEQn101rjEYP1mvP1cKnH9zP1NzPjD1P1nYPW0QnHNdPEDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKryu-PjDkujDVrH6bPiYYrHmLsH91njNVmWbLnvn3rjEOuhcLTEDYTEDKnTD1sjDvPHE_nWmOPEDQTyOdUAkKn1TQujn1nyRWPAnOPj-WmE&lego_tid=9fe410d1-98d5-4967-8305-b973c8849fb7&psid=6fd4e1a5192a4d36b65a104de2c3b702
东粤生态园 长兴创意园 无中间商赚差价 拎包入住 整租,998,嘉禾街8号小区,整租,朝南,有电梯,2/14号线/3号线(北延段),1室0厅26平米,白云嘉禾望岗 嘉禾街8号,https://gz.zu.anjuke.com/fangyuan/3069490256862209?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPjEzPHD1Pj9LrHDkPHnKTHnkPWbYrHTzPHm3PWcznjbKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDdTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW01P19OPjmYPjc3n19knH0KP9DKnED1mWFbP10kPzd6PjPhsHEkm1EVrycduBYvuHTLPyDzrAckPWmKnH9zP1nLrjbYP1mdnj9knHmvPTDQrjcLn103rHELPWT3rjNYPHc3TEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDduWbLn1-huaYvnvn1sHwWmhnVmWI6uadbmHTvPjczujc3Pj0KTHEKTEDkTHn_nHmdrikQnWcOnTDQTyOdUAkKrjDQPHDvPW7BujDYujbYmk&lego_tid=5f9739fd-63c3-4cbc-b7ad-da06422d2847&psid=6fd4e1a5192a4d36b65a104de2c3b702
同和地铁大源黄庄，路边电梯公寓，采光通透，拎包入住,1500,大源黄庄南路小区,整租,朝南,有电梯,,1室1厅49平米,白云黄庄 大源黄庄南路,https://gz.zu.anjuke.com/fangyuan/3690993874477065?isauction=2&shangquan_id=35961&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPWcQnHbYPWDzPH9zPHbKTHnvrHTOrHn3P1EYP10kPWNKnHTQPjbKnHTznjTKnikQnTD1THDLnWELPW0YnWcLPjnKP97AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3njTdnHnvrH0OPHD1n1EYTHmKTHDKmWn1n1TOPvDVuHn1riYYrHbQsH9YuW9VPjEdnyDOm1PWnvDzTHD3nW9knjNQn1mOnHmvnHDkP1nKnH9zrjTkPHD1P1TvP1NOP19zP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKuhnkPjTLPWNVnjuhmzYYmWDYsyFhP1bVrymLuhPBnj9LrHRBTEDYTEDKnTD1sjDvPHb_n1NOPWDKnE78IyQ_TyFhuAcdujFbrH91uAPhuWD&lego_tid=fc040765-06fc-4b14-bf79-9f7fcb08795b&psid=6fd4e1a5192a4d36b65a104de2c3b702
东粤生态园 长兴创意园 无中间商赚差价 拎包入住 整租,1598,龙归镇南村,整租,朝南,有电梯,3号线(北延段),2室1厅66平米,白云龙归 高路大巷,https://gz.zu.anjuke.com/fangyuan/3069594567696394?isauction=2&shangquan_id=6435&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPjEzPHD1Pj9LrHDkPHnKTHnkPWbdrHEdPW0vrHm1rHEKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDLTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW01P19OrHmkPjTdnWnLP1mKP9DKnED3uHb3uyDLnaYdnh7-sHEQnjcVmHNOnBdBPvP-nAu6mWNkn10KnH9zP1nLrjbOP1cQPj93n19YnEDQrjcLn103rHbLnjELnHnznHmkTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTD1P1EYm1DknzYkPj7bsHE3ryNVrjNzuBYzP17BPHw6uHIBmyDKTHEKTEDkTHn_nHmdrikvPjndTHDKUMR_UTDduAcOnWFBP191PjKWujNL&lego_tid=3744c103-041d-489e-852f-271b54ae7baa&psid=6fd4e1a5192a4d36b65a104de2c3b702
江夏地铁站 新牌坊 东一街电梯精装一房一厅,1580,江夏东一街自建房,整租,朝南,有电梯,2号线,1室1厅40平米,白云江夏 江夏东一街,https://gz.zu.anjuke.com/fangyuan/3647133432503302?isauction=2&shangquan_id=21901&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKP1Ndrj9zPjTvPWc3nWEKTHnvPj0Qn1nYn1cdnjn1njcKrHbknTDOrHTkTHD_nHTKnkDQP1cYP1mLPjczP1E1TH9KwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjEQPWEvnH0vPHnOrjNzrTDvTEDQTyP-ryDOmynLsymQmvcVPjDOPadBmHRWsHRBuyDdnjEzn1wBn9DQrjc3PjDvPjmQrjnvP1D1rH9dTHD3nW9YnHmYPWD3nHbOn1mLPW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHbknhDzPHbdsHF-nvNVPjP-midBmWRBsyP-uhnvmH0LrHuBn9DKPTDKTHTKnzkQPWNOsjcQrHTQTHDKUMR_UTDvn1cLPj03nWEvrHcOrjDL&lego_tid=902a2595-2e3e-43ea-bb5b-cefc6a7796b2&psid=6fd4e1a5192a4d36b65a104de2c3b702
直租房 押一付一 有免租！精装一房 新房开租 可养宠,900,嘉禾下新村,整租,朝南,有电梯,2/14号线/3号线(北延段),1室1厅40平米,白云嘉禾望岗 下新村街,https://gz.zu.anjuke.com/fangyuan/2871558849864705?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPjmdnjTYP1bYnWcznWDKTHc3P1DdPH93Pjb3PWELnjNKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDOTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9YnWcknjczPj9krjDYnj9KP9DKnEDvrjbzrjNdPiYQuhDvsHwbnWnVrHF6PBd6njckPWubmW0YuW9KnH9zrjEznWTknWnQPHDdn1EkrEDQrjc3PjcznjTzn1TvP1m3rjbLTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT7huAuWmvu-naY3PWubsHEvnWDVrjEOPaYvnhDdm1m1mW-hmynKTHEKTEDkTHn_nHmdrikQnWcOnTDQTyOdUAkKPHNQmhn1nj0kPHnYm1PBPE&lego_tid=fdfccfe0-866d-4621-8494-62a5c63b9fac&psid=6fd4e1a5192a4d36b65a104de2c3b702
可议价 紧邻地铁 精装房 面积大 家私电器齐全 随时可约看房,800,夏埔村,整租,朝西,13号线,,1室0厅25平米,增城新塘 水南大道东,https://gz.zu.anjuke.com/fangyuan/3477314740674573?isauction=2&shangquan_id=6526&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKP1mYPH0OPWDkPWD1rj0KTHnYP101nHELPjTvP1EdP1nKnHTznjTKrjcknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDQnT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3n10Yn1DkPWbznHczPWcYTHmKTHDKmWT3mW0drAnVPhm3PzYYuHT3sH--rjDVmhE1P1mdujb3nyE1THD3nW91P1E1nHcQPHNOPWn1rHnKnH9zrjnLPjnQnWDQrjD3nH93rEDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKuHm3PjKBPW0VmWbdniYYnyczsyc3n19VrjnvmH0km1F-nHR-TEDYTEDKnTD1sjmdnWE_PWNzP9DQTyOdUAkKm1IWmyuhm1ubnhcvuHK6nk&lego_tid=e6840b67-b951-41b2-b838-836a70c2e15e&psid=6fd4e1a5192a4d36b65a104de2c3b702
近3号线永泰地铁站，精装修超大阳台单间，南北通透民水民电,1500,学山塘街自建房,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 学山塘街27号,https://gz.zu.anjuke.com/fangyuan/3672969847643141?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTknWmQPWckrHbkP19LTED1PW0zrHmOrjELPWE1nHEQTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjnKnHDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHN1njEOPW9OnWbzrEDvTEDQTHRWP1DzmWP6symkrHnVPANvPaYOmWnzsH0LPW03nHP-mW-BPEDQrjc3nW9dPHnkPWDknHcvrjE3THD3nW9zrjNdn1TdrjbQrHcQrHcKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyN1ujNYnAcLsH9dmHmVPj-buaYOrAcQsHEkPWnOPyRWnAm1nTDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THFhPyF6PHcLuH0zuAwWnyN&lego_tid=e3d540b7-85a6-49dd-98b1-406395ec0f30&psid=6fd4e1a5192a4d36b65a104de2c3b702
3号线永泰地铁站，精修装超大单间南北通透民水民电商圈配套齐全,1580,学山塘街自建房,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 学山塘街27号,https://gz.zu.anjuke.com/fangyuan/3676721468810252?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTknWmQPWckrHbkP19LTED1PW0vP1cQPjm3rjDknWNzTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjnKnHcKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHNLnjNYrjcOP10zrTDvTEDQTyuBn103rH0dsymvrAmVPj76miYOnHRhsHckPWK6uHNzmhcku9DQrjc3nW9dPH0kPWEYP1Nkn1nLTHD3nW9zrjNdP1TdrHEYn1bQPW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHwhujNkrADzsyEknWDVPANznBd6PhNzsH9zPW91PH9On10dP9DKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TH-hPhE1myPBPWN3nWTOrym&lego_tid=4fd508a2-d021-4e22-a6e2-826835893756&psid=6fd4e1a5192a4d36b65a104de2c3b702
